EmployeeID,CourseName,TrainingDate,Completed,CertificateValid
EMP43685,Heat Stress Prevention,2024-01-07,Yes,Yes
EMP43685,Working at Heights,2023-12-15,Yes,Yes
EMP43685,Confined Space Entry,2023-11-24,Yes,Yes
EMP43685,First Aid & CPR,2023-12-31,Yes,Yes
EMP47735,OSHA Safety Fundamentals,2022-10-15,No,No
EMP47735,PPE Usage Training,2022-05-07,Yes,Yes
EMP47735,First Aid & CPR,2022-11-28,Yes,Yes
EMP12733,Electrical Safety,2025-11-07,Yes,Yes
EMP12733,Working at Heights,2025-05-21,Yes,Yes
EMP12733,Fire Safety,2025-07-18,Yes,Yes
EMP12733,Heavy Equipment Operation,2025-06-15,Yes,Yes
EMP19620,Fire Safety,2023-12-10,Yes,Yes
EMP49493,Working at Heights,2023-06-05,No,No
EMP49493,Heavy Equipment Operation,2023-10-19,Yes,Yes
EMP49493,Scaffolding Safety,2023-09-07,Yes,Yes
EMP49493,PPE Usage Training,2023-03-10,No,No
EMP27804,Electrical Safety,2025-04-10,Yes,Yes
EMP27804,Scaffolding Safety,2025-01-16,Yes,Yes
EMP27804,OSHA Safety Fundamentals,2024-09-14,Yes,Yes
EMP27804,Heat Stress Prevention,2025-04-14,Yes,Yes
EMP45306,Electrical Safety,2025-09-29,Yes,Yes
EMP45306,OSHA Safety Fundamentals,2025-10-15,Yes,Yes
EMP45306,PPE Usage Training,2025-10-03,Yes,Yes
EMP45306,Confined Space Entry,2025-09-05,Yes,Yes
EMP48523,Electrical Safety,2024-08-24,Yes,Yes
EMP48523,Heat Stress Prevention,2024-01-24,Yes,Yes
EMP48523,Fire Safety,2024-06-15,Yes,Yes
EMP33208,Scaffolding Safety,2024-07-12,Yes,Yes
EMP33208,Heat Stress Prevention,2024-05-17,Yes,Yes
EMP33208,Electrical Safety,2024-02-13,Yes,Yes
EMP33208,First Aid & CPR,2023-12-13,Yes,Yes
EMP3531,First Aid & CPR,2023-10-22,Yes,Yes
EMP18747,Fire Safety,2025-09-23,Yes,Yes
EMP9271,Scaffolding Safety,2024-12-07,Yes,Yes
EMP9271,OSHA Safety Fundamentals,2025-10-22,Yes,Yes
EMP16080,First Aid & CPR,2025-04-02,Yes,Yes
EMP16080,Fire Safety,2025-10-04,Yes,Yes
EMP14625,First Aid & CPR,2024-02-02,Yes,Yes
EMP14625,Electrical Safety,2024-10-03,Yes,Yes
EMP14625,Heavy Equipment Operation,2024-12-11,Yes,Yes
EMP14625,Fire Safety,2024-06-29,Yes,Yes
EMP31639,Working at Heights,2023-02-22,Yes,Yes
EMP31639,Confined Space Entry,2023-03-14,Yes,Yes
EMP31639,Heavy Equipment Operation,2023-08-03,No,No
EMP31441,Confined Space Entry,2023-01-06,Yes,Yes
EMP31441,Fire Safety,2022-09-11,Yes,Yes
EMP37057,Confined Space Entry,2023-10-29,Yes,Yes
EMP37057,Heavy Equipment Operation,2024-05-12,Yes,Yes
EMP43652,Working at Heights,2023-06-13,Yes,Yes
EMP37804,PPE Usage Training,2024-08-30,Yes,Yes
EMP49225,OSHA Safety Fundamentals,2024-07-31,Yes,Yes
EMP49225,Fire Safety,2024-09-11,Yes,Yes
EMP49225,First Aid & CPR,2024-09-26,Yes,Yes
EMP49225,Heat Stress Prevention,2024-02-07,Yes,Yes
EMP30227,Electrical Safety,2023-03-21,Yes,Yes
EMP30227,Heat Stress Prevention,2023-04-14,Yes,Yes
EMP30227,Scaffolding Safety,2022-06-24,Yes,Yes
EMP30227,PPE Usage Training,2022-10-21,Yes,Yes
EMP6634,Fire Safety,2025-06-28,Yes,Yes
EMP6634,Heat Stress Prevention,2025-04-15,Yes,Yes
EMP6634,Working at Heights,2025-08-21,Yes,Yes
EMP6634,PPE Usage Training,2025-08-26,Yes,Yes
EMP6988,Confined Space Entry,2025-06-15,Yes,Yes
EMP49064,Fire Safety,2025-11-10,Yes,Yes
EMP49064,Heat Stress Prevention,2025-10-05,Yes,Yes
EMP49064,Heavy Equipment Operation,2025-04-04,Yes,Yes
EMP49064,Confined Space Entry,2025-07-27,Yes,Yes
EMP2813,PPE Usage Training,2025-11-15,Yes,Yes
EMP2813,Heat Stress Prevention,2025-05-07,Yes,Yes
EMP28579,OSHA Safety Fundamentals,2024-03-04,Yes,Yes
EMP28579,Fire Safety,2024-05-21,Yes,Yes
EMP28579,First Aid & CPR,2023-11-02,Yes,Yes
EMP28579,Scaffolding Safety,2023-12-12,Yes,Yes
EMP17824,OSHA Safety Fundamentals,2024-04-06,Yes,Yes
EMP17824,First Aid & CPR,2023-07-23,Yes,Yes
EMP17824,Scaffolding Safety,2023-09-17,Yes,Yes
EMP17824,Confined Space Entry,2023-09-21,Yes,Yes
EMP4929,Confined Space Entry,2025-05-05,Yes,Yes
EMP38287,Working at Heights,2022-11-25,No,No
EMP38287,Heat Stress Prevention,2022-11-25,Yes,Yes
EMP26046,Fire Safety,2025-07-26,Yes,Yes
EMP26046,OSHA Safety Fundamentals,2025-10-11,Yes,Yes
EMP26046,Scaffolding Safety,2025-08-30,Yes,Yes
EMP16728,PPE Usage Training,2025-07-25,Yes,Yes
EMP30601,Heavy Equipment Operation,2024-11-29,Yes,Yes
EMP30601,Heat Stress Prevention,2023-12-12,Yes,Yes
EMP30601,Confined Space Entry,2024-06-29,Yes,Yes
EMP11431,Confined Space Entry,2024-05-02,Yes,Yes
EMP26769,Confined Space Entry,2023-01-07,Yes,Yes
EMP26769,Electrical Safety,2023-03-13,Yes,Yes
EMP26769,PPE Usage Training,2023-03-06,No,No
EMP30104,Working at Heights,2025-09-02,Yes,Yes
EMP37538,Electrical Safety,2024-08-20,Yes,Yes
EMP40329,First Aid & CPR,2024-07-24,Yes,Yes
EMP40329,Electrical Safety,2023-10-14,Yes,Yes
EMP36540,Working at Heights,2025-10-04,Yes,Yes
EMP36540,Heavy Equipment Operation,2025-11-06,Yes,Yes
EMP29076,Heavy Equipment Operation,2025-06-16,Yes,Yes
EMP18841,Heavy Equipment Operation,2025-04-04,Yes,Yes
EMP18841,First Aid & CPR,2025-11-04,Yes,Yes
EMP18841,Working at Heights,2025-03-07,Yes,Yes
EMP28803,Heavy Equipment Operation,2024-08-04,Yes,Yes
EMP28803,Fire Safety,2024-06-14,Yes,Yes
EMP28803,Working at Heights,2024-02-09,No,No
EMP28803,Confined Space Entry,2025-01-11,Yes,Yes
EMP8683,Heavy Equipment Operation,2022-06-09,Yes,Yes
EMP8683,OSHA Safety Fundamentals,2022-11-26,Yes,Yes
EMP8683,Heat Stress Prevention,2022-05-24,No,No
EMP8683,Confined Space Entry,2022-06-17,No,No
EMP25280,Electrical Safety,2025-05-28,No,No
EMP25280,Scaffolding Safety,2025-06-20,Yes,Yes
EMP34071,OSHA Safety Fundamentals,2025-10-22,Yes,Yes
EMP34071,Confined Space Entry,2025-10-24,Yes,Yes
EMP34071,PPE Usage Training,2025-08-03,Yes,Yes
EMP34071,Fire Safety,2025-10-18,Yes,Yes
EMP36558,Working at Heights,2024-10-23,Yes,Yes
EMP36558,OSHA Safety Fundamentals,2025-02-06,Yes,Yes
EMP38190,OSHA Safety Fundamentals,2023-05-19,No,No
EMP38190,Heavy Equipment Operation,2023-10-14,Yes,Yes
EMP48150,Fire Safety,2023-01-27,Yes,Yes
EMP48150,OSHA Safety Fundamentals,2022-10-18,Yes,Yes
EMP47916,PPE Usage Training,2022-12-05,Yes,Yes
EMP47916,First Aid & CPR,2022-12-21,Yes,Yes
EMP47916,Electrical Safety,2022-09-09,Yes,Yes
EMP10802,Confined Space Entry,2023-08-04,Yes,Yes
EMP39801,Fire Safety,2023-01-08,Yes,Yes
EMP39801,OSHA Safety Fundamentals,2023-04-15,Yes,Yes
EMP39801,First Aid & CPR,2023-11-26,Yes,Yes
EMP25670,Heavy Equipment Operation,2022-10-23,Yes,Yes
EMP25670,Confined Space Entry,2022-12-05,Yes,Yes
EMP25670,OSHA Safety Fundamentals,2022-10-24,Yes,Yes
EMP25670,First Aid & CPR,2022-12-11,Yes,Yes
EMP45234,First Aid & CPR,2023-01-27,Yes,Yes
EMP32920,OSHA Safety Fundamentals,2025-09-05,Yes,Yes
EMP32920,Confined Space Entry,2025-08-14,Yes,Yes
EMP8135,OSHA Safety Fundamentals,2024-09-25,Yes,Yes
EMP8135,PPE Usage Training,2025-01-31,Yes,Yes
EMP8135,Heat Stress Prevention,2024-12-26,Yes,Yes
EMP34705,Scaffolding Safety,2024-02-10,Yes,Yes
EMP34705,First Aid & CPR,2024-09-30,Yes,Yes
EMP30661,Heat Stress Prevention,2022-10-17,Yes,Yes
EMP30661,Scaffolding Safety,2022-05-05,No,No
EMP30661,Confined Space Entry,2022-12-06,No,No
EMP30661,PPE Usage Training,2022-07-03,Yes,Yes
EMP18894,Heavy Equipment Operation,2025-06-02,Yes,Yes
EMP18894,Heat Stress Prevention,2025-07-12,Yes,Yes
EMP23019,Heat Stress Prevention,2023-03-18,Yes,Yes
EMP14539,First Aid & CPR,2022-08-16,Yes,Yes
EMP14539,Working at Heights,2022-08-15,Yes,Yes
EMP44119,PPE Usage Training,2023-11-15,Yes,Yes
EMP37421,Working at Heights,2022-12-08,Yes,Yes
EMP10406,Electrical Safety,2023-09-18,Yes,Yes
EMP14414,Confined Space Entry,2023-04-28,Yes,Yes
EMP7721,Confined Space Entry,2025-09-11,Yes,Yes
EMP7721,Working at Heights,2025-09-09,Yes,Yes
EMP16602,Fire Safety,2025-04-13,Yes,Yes
EMP16602,OSHA Safety Fundamentals,2025-01-26,Yes,Yes
EMP16602,Heat Stress Prevention,2025-05-20,Yes,Yes
EMP16602,PPE Usage Training,2025-07-19,Yes,Yes
EMP45744,Confined Space Entry,2025-04-07,Yes,Yes
EMP45744,Heat Stress Prevention,2025-01-20,Yes,Yes
EMP45744,PPE Usage Training,2025-02-12,Yes,Yes
EMP32139,Electrical Safety,2022-07-01,Yes,Yes
EMP32139,Fire Safety,2023-02-09,Yes,Yes
EMP32139,PPE Usage Training,2022-05-21,Yes,Yes
EMP32139,Working at Heights,2022-04-02,Yes,Yes
EMP3730,Heat Stress Prevention,2024-03-31,Yes,Yes
EMP3730,Scaffolding Safety,2023-05-14,Yes,Yes
EMP39243,OSHA Safety Fundamentals,2023-05-15,No,No
EMP39243,PPE Usage Training,2023-01-01,Yes,Yes
EMP30626,PPE Usage Training,2024-01-12,Yes,Yes
EMP30626,Heat Stress Prevention,2024-04-09,Yes,Yes
EMP30626,Fire Safety,2024-03-04,Yes,Yes
EMP30626,OSHA Safety Fundamentals,2024-02-05,Yes,Yes
EMP48895,OSHA Safety Fundamentals,2025-06-07,Yes,Yes
EMP48895,Heat Stress Prevention,2025-10-19,Yes,Yes
EMP48895,Heavy Equipment Operation,2025-07-29,No,No
EMP43091,Heavy Equipment Operation,2025-09-17,No,No
EMP43091,Fire Safety,2025-09-26,Yes,Yes
EMP43091,Electrical Safety,2025-09-26,Yes,Yes
EMP43091,OSHA Safety Fundamentals,2025-10-17,Yes,Yes
EMP37400,OSHA Safety Fundamentals,2022-03-24,No,No
EMP7245,Heat Stress Prevention,2023-12-02,Yes,Yes
EMP7245,Heavy Equipment Operation,2023-11-05,Yes,Yes
EMP7245,OSHA Safety Fundamentals,2023-07-17,Yes,Yes
EMP7245,PPE Usage Training,2023-07-05,Yes,Yes
EMP6546,PPE Usage Training,2025-06-10,No,No
EMP5065,OSHA Safety Fundamentals,2024-06-14,Yes,Yes
EMP5065,Heat Stress Prevention,2025-01-07,Yes,Yes
EMP5065,Heavy Equipment Operation,2024-09-01,No,No
EMP5065,Scaffolding Safety,2024-12-23,Yes,Yes
EMP13852,Heavy Equipment Operation,2024-06-18,Yes,Yes
EMP13852,Fire Safety,2025-01-07,Yes,Yes
EMP13852,Scaffolding Safety,2024-08-22,Yes,Yes
EMP13852,Electrical Safety,2024-07-09,Yes,Yes
EMP22803,PPE Usage Training,2023-03-11,No,No
EMP22803,Scaffolding Safety,2022-09-11,Yes,Yes
EMP42164,Heavy Equipment Operation,2024-08-25,Yes,Yes
EMP42164,Fire Safety,2025-03-10,Yes,Yes
EMP42164,Scaffolding Safety,2025-03-16,Yes,Yes
EMP7233,Fire Safety,2025-10-13,Yes,Yes
EMP4863,Fire Safety,2023-04-12,No,No
EMP36095,OSHA Safety Fundamentals,2023-01-19,Yes,Yes
EMP36095,Heat Stress Prevention,2023-09-17,Yes,Yes
EMP41196,OSHA Safety Fundamentals,2022-08-28,Yes,Yes
EMP41196,Heavy Equipment Operation,2022-06-09,Yes,Yes
EMP41196,PPE Usage Training,2022-12-05,Yes,Yes
EMP41196,Fire Safety,2023-02-19,Yes,Yes
EMP40251,Scaffolding Safety,2024-11-14,Yes,Yes
EMP40251,Working at Heights,2024-04-08,Yes,Yes
EMP7218,Heat Stress Prevention,2022-06-30,Yes,Yes
EMP7218,Confined Space Entry,2023-01-05,Yes,Yes
EMP37776,Working at Heights,2023-06-04,Yes,Yes
EMP37776,Fire Safety,2023-03-13,Yes,Yes
EMP37776,Electrical Safety,2022-12-03,Yes,Yes
EMP37776,PPE Usage Training,2023-10-23,Yes,Yes
EMP43977,Scaffolding Safety,2025-10-19,Yes,Yes
EMP43977,PPE Usage Training,2025-04-29,Yes,Yes
EMP43977,First Aid & CPR,2025-05-05,Yes,Yes
EMP43977,Working at Heights,2025-10-18,Yes,Yes
EMP49468,Electrical Safety,2023-08-16,Yes,Yes
EMP49468,OSHA Safety Fundamentals,2024-01-14,Yes,Yes
EMP15832,PPE Usage Training,2023-04-27,Yes,Yes
EMP31093,Confined Space Entry,2024-04-23,Yes,Yes
EMP31093,Working at Heights,2023-12-20,Yes,Yes
EMP31093,Scaffolding Safety,2024-01-24,No,No
EMP31093,Electrical Safety,2024-08-13,Yes,Yes
EMP9894,Fire Safety,2024-11-16,Yes,Yes
EMP9894,Confined Space Entry,2025-06-24,Yes,Yes
EMP9894,Heat Stress Prevention,2024-12-10,Yes,Yes
EMP9894,Heavy Equipment Operation,2025-02-17,Yes,Yes
EMP7021,OSHA Safety Fundamentals,2025-08-03,Yes,Yes
EMP7021,First Aid & CPR,2025-03-06,Yes,Yes
EMP7021,Working at Heights,2025-11-08,Yes,Yes
EMP7021,Heavy Equipment Operation,2025-08-24,Yes,Yes
EMP47089,Electrical Safety,2025-07-01,Yes,Yes
EMP47089,Working at Heights,2025-09-21,Yes,Yes
EMP16243,First Aid & CPR,2025-08-11,No,No
EMP16243,OSHA Safety Fundamentals,2025-07-31,No,No
EMP46308,PPE Usage Training,2022-09-30,Yes,Yes
EMP27551,Heavy Equipment Operation,2025-04-20,Yes,Yes
EMP27551,Working at Heights,2025-03-08,Yes,Yes
EMP7035,Scaffolding Safety,2025-07-24,Yes,Yes
EMP7035,First Aid & CPR,2025-05-07,Yes,Yes
EMP7035,Confined Space Entry,2025-11-13,Yes,Yes
EMP8906,Heavy Equipment Operation,2025-06-26,Yes,Yes
EMP8906,Working at Heights,2025-08-06,Yes,Yes
EMP8906,Electrical Safety,2025-08-31,Yes,Yes
EMP33226,Scaffolding Safety,2025-03-15,Yes,Yes
EMP33226,Electrical Safety,2025-03-03,Yes,Yes
EMP7018,Scaffolding Safety,2023-05-08,Yes,Yes
EMP7018,Confined Space Entry,2023-07-14,Yes,Yes
EMP22880,Heavy Equipment Operation,2024-02-13,Yes,Yes
EMP22880,PPE Usage Training,2024-06-26,No,No
EMP22880,Confined Space Entry,2024-08-02,Yes,Yes
EMP3792,Heat Stress Prevention,2025-09-13,Yes,Yes
EMP3792,Scaffolding Safety,2025-11-04,Yes,Yes
EMP3792,Working at Heights,2025-09-14,Yes,Yes
EMP43606,Heat Stress Prevention,2023-06-13,Yes,Yes
EMP43606,Electrical Safety,2024-03-29,Yes,Yes
EMP43606,PPE Usage Training,2024-05-23,Yes,Yes
EMP6824,Confined Space Entry,2024-04-26,Yes,Yes
EMP6824,Scaffolding Safety,2024-09-17,Yes,Yes
EMP16388,Confined Space Entry,2022-12-07,Yes,Yes
EMP16388,Heat Stress Prevention,2022-11-05,Yes,Yes
EMP16388,Heavy Equipment Operation,2022-06-21,Yes,Yes
EMP16388,Fire Safety,2022-10-11,Yes,Yes
EMP30562,First Aid & CPR,2023-06-16,Yes,Yes
EMP30562,OSHA Safety Fundamentals,2024-02-23,Yes,Yes
EMP30562,Heavy Equipment Operation,2023-10-24,Yes,Yes
EMP40476,Confined Space Entry,2023-02-27,Yes,Yes
EMP40476,Heat Stress Prevention,2023-10-06,Yes,Yes
EMP1293,Heat Stress Prevention,2022-12-28,Yes,Yes
EMP1293,Confined Space Entry,2022-12-20,Yes,Yes
EMP1293,Electrical Safety,2022-05-15,Yes,Yes
EMP17958,Scaffolding Safety,2023-03-29,Yes,Yes
EMP17958,Electrical Safety,2023-01-28,Yes,Yes
EMP17958,Heat Stress Prevention,2023-06-08,Yes,Yes
EMP17958,Fire Safety,2022-12-31,Yes,Yes
EMP31861,Working at Heights,2024-08-24,Yes,Yes
EMP31861,Scaffolding Safety,2024-12-12,Yes,Yes
EMP31861,Confined Space Entry,2024-06-17,Yes,Yes
EMP15074,Scaffolding Safety,2024-08-22,Yes,Yes
EMP22857,Heavy Equipment Operation,2023-03-14,Yes,Yes
EMP22857,Heat Stress Prevention,2022-12-22,Yes,Yes
EMP22857,First Aid & CPR,2023-02-12,Yes,Yes
EMP23080,Scaffolding Safety,2023-10-11,Yes,Yes
EMP23080,Heat Stress Prevention,2024-05-16,Yes,Yes
EMP23080,First Aid & CPR,2024-08-11,Yes,Yes
EMP23080,Heavy Equipment Operation,2024-05-14,Yes,Yes
EMP18024,First Aid & CPR,2025-01-07,Yes,Yes
EMP18024,Confined Space Entry,2024-04-24,Yes,Yes
EMP18024,OSHA Safety Fundamentals,2025-03-06,No,No
EMP9740,Electrical Safety,2025-04-23,Yes,Yes
EMP9740,OSHA Safety Fundamentals,2025-07-12,Yes,Yes
