EmployeeID,ExitDate,ExitReason,TenureAtExit_Months,RehireEligible
EMP5820,2024-05-16,Better Opportunity,21,Yes
EMP5836,2025-09-22,Better Opportunity,9,Yes
EMP5838,2025-11-07,Work Conditions,5,No
EMP5855,2023-02-06,Salary Issues,43,No
EMP5863,2025-02-08,End of Contract,17,Yes
EMP5868,2024-03-14,Better Opportunity,26,Yes
EMP5878,2023-08-18,Work Conditions,31,No
EMP5923,2024-02-03,Better Opportunity,26,Yes
EMP6028,2024-04-14,Salary Issues,36,No
EMP6044,2024-02-18,End of Contract,45,Yes
EMP6047,2025-03-12,Salary Issues,42,No
EMP6062,2025-07-26,Work Conditions,5,No
EMP6063,2024-09-15,Family Reasons,39,Yes
EMP6070,2024-03-17,Better Opportunity,31,Yes
EMP6101,2025-05-30,Better Opportunity,15,Yes
EMP6106,2024-02-21,Better Opportunity,42,Yes
EMP6129,2024-06-04,End of Contract,24,Yes
EMP6140,2024-08-17,Work Conditions,25,No
EMP6141,2025-09-16,Salary Issues,3,No
EMP6151,2025-11-03,Salary Issues,9,No
EMP6166,2025-09-26,Better Opportunity,12,Yes
EMP6218,2024-09-17,Work Conditions,35,No
EMP6260,2025-10-30,Better Opportunity,31,Yes
EMP6270,2023-11-23,Family Reasons,40,Yes
EMP6275,2024-12-02,Better Opportunity,18,Yes
EMP6301,2025-05-15,Family Reasons,26,Yes
EMP6308,2025-08-10,Better Opportunity,7,Yes
EMP6313,2022-04-25,Work Conditions,46,No
EMP6353,2025-04-21,End of Contract,13,Yes
EMP6370,2025-10-16,Salary Issues,26,No
EMP6373,2025-07-20,Salary Issues,5,No
EMP6385,2025-03-23,Salary Issues,45,No
EMP6390,2025-01-15,Family Reasons,35,Yes
EMP6404,2025-07-12,Work Conditions,6,No
EMP6430,2025-03-09,End of Contract,11,Yes
EMP6462,2025-01-22,End of Contract,13,Yes
EMP6478,2025-07-28,End of Contract,45,Yes
EMP6488,2025-09-29,Better Opportunity,21,Yes
EMP6489,2025-06-12,Family Reasons,9,Yes
EMP6493,2025-09-03,End of Contract,3,Yes
EMP6502,2025-07-22,Family Reasons,23,Yes
EMP6505,2025-09-21,End of Contract,3,Yes
EMP6519,2023-12-21,Better Opportunity,35,Yes
EMP6520,2025-06-01,Better Opportunity,31,Yes
EMP6525,2025-07-06,Work Conditions,8,No
EMP6531,2025-07-20,Family Reasons,14,Yes
EMP6544,2023-08-09,Better Opportunity,31,Yes
EMP6595,2023-07-27,Work Conditions,33,No
EMP6599,2025-09-17,End of Contract,12,Yes
EMP6606,2023-07-31,Terminated,45,No
EMP6615,2025-05-22,End of Contract,15,Yes
EMP6621,2023-10-07,Better Opportunity,45,Yes
EMP6629,2025-09-02,End of Contract,3,Yes
EMP6649,2025-05-03,Salary Issues,9,No
EMP6674,2025-04-09,Better Opportunity,19,Yes
EMP6675,2023-09-05,Better Opportunity,40,Yes
EMP6682,2025-08-01,Family Reasons,27,Yes
EMP6698,2025-01-23,Salary Issues,10,No
EMP6707,2024-12-10,Better Opportunity,21,Yes
EMP6733,2025-10-07,End of Contract,6,Yes
EMP6737,2024-12-29,Better Opportunity,33,Yes
EMP6743,2024-02-20,Better Opportunity,46,Yes
EMP6762,2024-10-11,Better Opportunity,32,Yes
EMP6771,2025-08-01,Better Opportunity,27,Yes
EMP6772,2025-08-20,Family Reasons,5,Yes
EMP6791,2023-07-26,Salary Issues,33,No
EMP6803,2023-04-02,Better Opportunity,34,Yes
EMP6807,2025-01-20,End of Contract,14,Yes
EMP6809,2024-01-30,Family Reasons,37,Yes
EMP6812,2025-03-08,Better Opportunity,45,Yes
EMP6832,2024-10-03,Family Reasons,39,Yes
EMP6843,2024-11-05,End of Contract,40,Yes
EMP6864,2025-08-11,Family Reasons,23,Yes
EMP6871,2025-08-05,Better Opportunity,21,Yes
EMP6876,2022-12-03,Salary Issues,40,No
EMP6906,2024-05-15,Better Opportunity,23,Yes
EMP6909,2024-07-27,End of Contract,31,Yes
EMP6926,2025-07-26,Better Opportunity,5,Yes
EMP6968,2025-08-29,Work Conditions,4,No
EMP6971,2025-09-23,Family Reasons,18,Yes
EMP6974,2025-08-25,Better Opportunity,18,Yes
EMP6986,2023-09-26,Better Opportunity,39,Yes
EMP6990,2025-07-02,End of Contract,5,Yes
EMP6995,2025-08-21,End of Contract,5,Yes
EMP7000,2025-06-04,Better Opportunity,23,Yes
EMP7007,2023-05-15,End of Contract,33,Yes
EMP7019,2023-09-11,End of Contract,29,Yes
EMP7021,2025-08-12,Salary Issues,10,No
EMP7067,2025-09-16,Family Reasons,5,Yes
EMP7069,2025-03-16,Work Conditions,10,No
EMP7071,2025-09-19,Better Opportunity,26,Yes
EMP7076,2024-11-27,End of Contract,17,Yes
EMP7078,2025-03-25,Work Conditions,31,No
EMP7080,2024-10-29,Better Opportunity,42,Yes
EMP7115,2025-10-31,Family Reasons,46,Yes
EMP7122,2025-08-13,Better Opportunity,30,Yes
EMP7137,2024-09-24,Terminated,19,No
EMP7139,2024-12-27,End of Contract,14,Yes
EMP7157,2023-07-31,Family Reasons,34,Yes
EMP7166,2025-10-01,Salary Issues,7,No
EMP7168,2025-11-06,End of Contract,6,Yes
EMP7174,2024-08-27,Family Reasons,45,Yes
EMP7184,2024-07-26,End of Contract,36,Yes
EMP7195,2025-08-17,Better Opportunity,24,Yes
EMP7201,2024-07-02,Work Conditions,47,No
EMP7210,2024-06-09,Family Reasons,20,Yes
EMP7215,2024-08-10,Salary Issues,20,No
EMP7231,2025-09-08,Salary Issues,6,No
EMP7232,2024-12-15,Salary Issues,18,No
EMP7239,2025-06-04,Family Reasons,10,Yes
EMP7244,2023-09-12,Work Conditions,43,No
EMP7247,2023-10-15,End of Contract,27,Yes
EMP7266,2025-05-04,Better Opportunity,20,Yes
EMP7298,2023-01-02,Family Reasons,46,Yes
EMP7315,2025-07-31,Better Opportunity,11,Yes
EMP7317,2025-08-11,End of Contract,7,Yes
EMP7322,2024-09-13,End of Contract,21,Yes
EMP7335,2024-06-15,End of Contract,34,Yes
EMP7372,2025-07-01,Family Reasons,12,Yes
EMP7397,2025-07-29,Salary Issues,13,No
EMP7420,2025-05-17,Better Opportunity,23,Yes
EMP7425,2023-11-30,Better Opportunity,42,Yes
EMP7432,2024-10-23,Family Reasons,46,Yes
EMP7441,2023-04-23,Better Opportunity,32,Yes
EMP7449,2024-11-08,Better Opportunity,25,Yes
EMP7486,2025-07-08,Better Opportunity,6,Yes
EMP7503,2025-08-31,Salary Issues,13,No
EMP7515,2025-09-01,Better Opportunity,40,Yes
EMP7539,2024-05-09,End of Contract,28,Yes
EMP7557,2024-08-25,End of Contract,32,Yes
EMP7584,2024-03-03,Better Opportunity,40,Yes
EMP7593,2025-11-04,Work Conditions,23,No
EMP7595,2024-11-06,End of Contract,39,Yes
EMP7599,2024-05-19,Better Opportunity,20,Yes
EMP7600,2023-08-02,Better Opportunity,37,Yes
EMP7643,2025-05-02,Salary Issues,40,No
EMP7649,2025-07-29,Family Reasons,13,Yes
EMP7657,2024-03-15,Work Conditions,21,No
EMP7702,2025-04-07,Better Opportunity,32,Yes
EMP7720,2025-08-01,Better Opportunity,15,Yes
EMP7731,2024-11-06,End of Contract,18,Yes
EMP7743,2024-07-09,Better Opportunity,20,Yes
EMP7753,2025-04-15,Salary Issues,8,No
EMP7759,2025-03-10,Better Opportunity,27,Yes
EMP7766,2023-02-16,Salary Issues,45,No
EMP7771,2024-06-10,Family Reasons,27,Yes
EMP7775,2024-09-26,Better Opportunity,18,Yes
EMP7787,2024-01-16,Family Reasons,37,Yes
EMP7793,2025-07-27,Salary Issues,5,No
EMP7812,2025-10-17,Salary Issues,17,No
EMP7818,2025-06-04,Work Conditions,19,No
EMP7855,2023-04-29,End of Contract,38,Yes
EMP7858,2025-03-28,Work Conditions,27,No
EMP7861,2025-06-15,Better Opportunity,31,Yes
EMP7867,2025-02-27,Salary Issues,30,No
EMP7877,2024-04-25,Family Reasons,42,Yes
EMP7884,2025-05-01,Family Reasons,9,Yes
EMP7887,2025-10-01,End of Contract,5,Yes
EMP7899,2023-12-06,Health Issues,25,No
EMP7905,2024-12-25,Better Opportunity,24,Yes
EMP7921,2025-07-31,Better Opportunity,7,Yes
EMP7932,2025-01-05,Family Reasons,37,Yes
EMP7933,2025-02-05,End of Contract,27,Yes
EMP7942,2024-05-23,Health Issues,27,No
EMP7952,2025-01-08,End of Contract,25,Yes
EMP7959,2024-07-08,End of Contract,24,Yes
EMP7968,2025-01-16,End of Contract,30,Yes
EMP7976,2024-12-19,Work Conditions,13,No
EMP8021,2022-11-13,Better Opportunity,39,Yes
EMP8022,2023-12-30,Better Opportunity,43,Yes
